,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
0,1221 Harrison St #20,San Francisco,CA,94110,1035000.0,1,2.0,1439,719.249,small,0.5,lower
2,1714 24th Ave,San Francisco,CA,94122,2099000.0,5,3.0,2304,911.024,medium,1.667,higher
3,1934 - 1936 19th Ave,San Francisco,CA,94116,1395000.0,4,3.0,2740,509.124,large,1.333,higher
4,130 Wilson Ave,San Francisco,CA,94112,875000.0,4,3.0,1400,625.0,small,1.333,lower
5,1200 Gough St Unit 5 C,San Francisco,CA,94109-6609,795000.0,1,1.0,840,946.429,small,1.0,lower
6,44 Athens St Unit A & B,San Francisco,CA,94112,925925.0,4,2.0,1320,701.458,small,2.0,lower
7,137 Prentiss St,San Francisco,CA,94110,1795000.0,4,2.5,1547,1160.31,medium,1.6,higher
8,2501 30th Ave,San Francisco,CA,94116,1495000.0,3,2.0,1800,830.556,medium,1.5,higher
9,520 Miramar Ave,San Francisco,CA,94112,2780000.0,4,3.0,2702,1028.868,large,1.333,higher
10,190 - 192 Collins St,San Francisco,CA,94118,2499900.0,4,4.0,3220,776.366,large,1.0,higher
11,2646 - 2648 Great Hwy,San Francisco,CA,94116,1750000.0,4,2.0,2550,686.275,large,2.0,higher
12,250 King St #618,San Francisco,CA,94107,980000.0,2,2.0,1197,818.713,small,1.0,lower
14,146 Portola Dr #202,San Francisco,CA,94131,688000.0,1,1.0,689,998.549,small,1.0,lower
15,1645 Pacific Ave Unit 2D,San Francisco,CA,94109,1795000.0,2,2.0,1399,1283.059,small,1.0,higher
16,333 Main St Unit 4C,San Francisco,CA,94105,839000.0,1,1.0,815,1029.448,small,1.0,lower
17,1020 Mariposa St #6,San Francisco,CA,94107,1025000.0,1,2.0,1266,809.637,small,0.5,lower
18,733 Filbert St #6,San Francisco,CA,94133,1149000.0,2,2.0,1208,951.159,small,1.0,higher
19,376 Ivy St,San Francisco,CA,94102,1099000.0,2,2.0,1399,785.561,small,1.0,higher
20,283 Flournoy St,San Francisco,CA,94112,999800.0,5,2.0,1662,601.564,medium,2.5,lower
21,1545 Lincoln Way #3,San Francisco,CA,94122,1498000.0,3,2.0,1445,1036.678,small,1.5,higher
23,1826 44th Ave,San Francisco,CA,94122,1288000.0,2,1.0,1024,1257.812,small,2.0,higher
24,1350 California St #406,San Francisco,CA,94109,1048000.0,2,2.0,1165,899.571,small,1.0,lower
25,1177 California St #905,San Francisco,CA,94108,650000.0,1,1.0,649,1001.541,small,1.0,lower
26,1591 21st Ave,San Francisco,CA,94122,1198000.0,2,1.0,1340,894.03,small,2.0,higher
27,55 Ora Way Unit B107,San Francisco,CA,94131,382757.0,1,1.0,684,559.586,small,1.0,lower
28,435 China Basin St #532,San Francisco,CA,94158,1550000.0,2,2.0,1351,1147.298,small,1.0,higher
29,381 Dolores St,San Francisco,CA,94114,2250000.0,4,2.0,2380,945.378,medium,2.0,higher
30,146 Portola Dr #101,San Francisco,CA,94131,595000.0,1,1.0,719,827.538,small,1.0,lower
31,575 Joost Ave,San Francisco,CA,94127,1228000.0,4,4.0,1589,772.813,medium,1.0,higher
33,50 Lansing St #412,San Francisco,CA,94105,789000.0,1,1.0,714,1105.042,small,1.0,lower
35,786 Colby St,San Francisco,CA,94134,1500000.0,3,1.0,1064,1409.774,small,3.0,higher
36,184 Locksley Ave #6,San Francisco,CA,94122,749000.0,1,1.0,671,1116.244,small,1.0,lower
37,1728 Bryant St,San Francisco,CA,94110,1395000.0,5,3.0,3217,433.634,large,1.667,higher
39,2121 Laguna St #22,San Francisco,CA,94115,898000.0,1,1.0,740,1213.514,small,1.0,lower
40,627 Cayuga Ave,San Francisco,CA,94112,995000.0,2,1.0,1315,756.654,small,2.0,lower
41,148 Flournoy St,Daly City,CA,94014,899000.0,2,2.0,850,1057.647,small,1.0,lower
42,107 Escolta Way,San Francisco,CA,94116,895000.0,2,1.0,1325,675.472,small,2.0,lower
43,5696 Diamond Heights Blvd,San Francisco,CA,94131,2168000.0,4,3.5,2435,890.349,medium,1.143,higher
45,3160 Baker St,San Francisco,CA,94123,2950000.0,4,3.5,1785,1652.661,medium,1.143,higher
46,231 Edna St,San Francisco,CA,94112,1399000.0,3,2.0,2219,630.464,medium,1.5,higher
47,301 Main St Unit 11D,San Francisco,CA,94105,1995000.0,2,2.0,1317,1514.806,small,1.0,higher
48,555 4th St #402,San Francisco,CA,94107,750000.0,1,1.0,670,1119.403,small,1.0,lower
49,73 Sumner St #402,San Francisco,CA,94103,1399000.0,2,2.0,1415,988.693,small,1.0,higher
50,1483 Sutter St #712,San Francisco,CA,94109,1200000.0,2,2.0,1336,898.204,small,1.0,higher
51,135 Valencia St Unit A405,San Francisco,CA,94103,749000.0,2,1.5,980,764.286,small,1.333,lower
52,301 Main St Unit 16H,San Francisco,CA,94105,1850000.0,2,2.0,1317,1404.708,small,1.0,higher
53,20 Beideman St #105,San Francisco,CA,94115,1098000.0,2,1.5,1050,1045.714,small,1.333,higher
54,474 Vernon St,San Francisco,CA,94132,1099000.0,2,1.0,1175,935.319,small,2.0,higher
55,201 Harrison St #219,San Francisco,CA,94105,550000.0,1,1.0,496,1108.871,small,1.0,lower
56,290 Richland Ave #292,San Francisco,CA,94110,1995000.0,3,2.5,2320,859.914,medium,1.2,higher
57,4156 - 4158 20th St,San Francisco,CA,94114,995000.0,4,4.0,2750,361.818,large,1.0,lower
58,590 6th St #209,San Francisco,CA,94103,959000.0,2,2.0,1089,880.624,small,1.0,lower
59,52 Sharon St,San Francisco,CA,94114,1268000.0,2,1.0,1242,1020.934,small,2.0,higher
60,927 Hayes St,San Francisco,CA,94117,1395000.0,3,2.0,1620,861.111,medium,1.5,higher
61,250 King St #1418,San Francisco,CA,94107,1180000.0,2,2.0,1208,976.821,small,1.0,higher
62,144 Belvedere St,San Francisco,CA,94117,1595000.0,3,2.0,1575,1012.698,medium,1.5,higher
64,55 Newton St,San Francisco,CA,94112,1650000.0,4,3.0,2230,739.91,medium,1.333,higher
65,683 Spruce St,San Francisco,CA,94118,2795000.0,4,3.0,2100,1330.952,medium,1.333,higher
66,855 Folsom St #120,San Francisco,CA,94107,849000.0,1,1.5,898,945.434,small,0.667,lower
67,1964 Grove St,San Francisco,CA,94117,1445000.0,2,1.5,1468,984.332,small,1.333,higher
68,488 Folsom St #3704,San Francisco,CA,94105,2298000.0,2,2.5,1544,1488.342,medium,0.8,higher
69,280 Juanita Way,San Francisco,CA,94127,988000.0,3,1.0,1757,562.322,medium,3.0,lower
70,1595 Dolores St,San Francisco,CA,94110,2495000.0,3,2.5,1923,1297.452,medium,1.2,higher
72,436 University St,San Francisco,CA,94134,1100000.0,3,2.0,1423,773.015,small,1.5,higher
73,627 Moscow St,San Francisco,CA,94112,1268000.0,5,4.0,1705,743.695,medium,1.25,higher
74,3797 20th St,San Francisco,CA,94110,1750000.0,3,2.0,1425,1228.07,small,1.5,higher
75,280 Spear St Unit 32C,San Francisco,CA,94105,1965000.0,2,2.0,1266,1552.133,small,1.0,higher
